Similarity_file, type, missing_files, n_pairs, max, mean, std, median
deltaCON_intersection_personalized_rw_affinities_lowmem.csv, gml, 0, 31451, 1.0, 0.6675090951706445, 0.4117533554978918, 1.0
deltaCON_intersection_personalized_rw_affinities_lowmem.csv, fullgml, 10, 14441, 1.0, 0.6518186329777732, 0.4010388832447864, 0.8216064286890065
deltaCON_intersection_shortest_path_affinities.csv, gml, 0, 31451, 1.0, 0.6381525683720746, 0.43560525912028686, 1.0
deltaCON_intersection_shortest_path_affinities.csv, fullgml, 10, 12590, 1.0, 0.5652906376042452, 0.44281968101624636, 0.585786437626905
deltaCON_personalized_rw_affinities.csv, gml, 11, 12742, 1.0, 0.6075806349146269, 0.3988308926484906, 0.677626066860716
deltaCON_personalized_rw_affinities.csv, fullgml, 23, 0, nan, nan, nan, nan
deltaCON_shortest_path_affinities.csv, gml, 11, 12742, 1.0, 0.5897481973762415, 0.42533190444060043, 0.585786437626905
deltaCON_shortest_path_affinities.csv, fullgml, 23, 0, nan, nan, nan, nan
otherSim_ged_similarity.csv, gml, 0, 31797, 1.0, 0.6205574955684803, 0.11748885703744735, 0.5807899461400359
otherSim_ged_similarity.csv, fullgml, 0, 31797, 1.0, 0.5468416322929823, 0.08864980062791067, 0.5068493150684932
otherSim_intersection_edge_jaccard_similarity.csv, gml, 0, 31451, 1.0, 0.015170390468881977, 0.08207768221224936, 0.0
otherSim_intersection_edge_jaccard_similarity.csv, fullgml, 0, 31451, 1.0, 0.09399064935015118, 0.2315285977256785, 0.0
otherSim_intersection_ged_similarity.csv, gml, 0, 31451, 1.0, 0.9114060882116115, 0.14368363782429075, 1.0
otherSim_intersection_ged_similarity.csv, fullgml, 0, 31451, 1.0, 0.9047985354825112, 0.13789901560060708, 1.0
otherSim_intersection_rw_kernel.csv, gml, 0, 31797, 1.001001001001001, 0.4092545758632313, 0.41143813294645365, 0.25
otherSim_intersection_rw_kernel.csv, fullgml, 19, 2572, 1.0, 0.3783726266618895, 0.42198107508059046, 0.1667083333333333
otherSim_intersection_rw_kernel_unnormalized.csv, gml, 0, 31797, 2974.9277941321534, 11.301552365942971, 39.09907179469435, 2.0
otherSim_intersection_rw_kernel_unnormalized.csv, fullgml, 19, 1186, 6604.419935092217, 75.15436377982061, 425.9481780314622, 1.0
otherSim_intersection_vertex_jaccard_similarity.csv, gml, 0, 31451, 1.0, 0.8092906425868812, 0.39286040575272296, 1.0
otherSim_intersection_vertex_jaccard_similarity.csv, fullgml, 0, 31451, 1.0, 0.8236622046993737, 0.3811073041141311, 1.0
otherSim_vertex_edge_jaccard_similarity.csv, gml, 0, 31797, 1.0, 0.07279783559792093, 0.10311587919030188, 0.03431372549019608
otherSim_vertex_edge_jaccard_similarity.csv, fullgml, 0, 31797, 0.7069912015389079, 0.03285645260977173, 0.06341598940272264, 0.01020408163265306
otherSim_vertex_jaccard_similarity.csv, gml, 0, 31797, 1.0, 0.13819974449251612, 0.1912961997626769, 0.06666666666666667
otherSim_vertex_jaccard_similarity.csv, fullgml, 0, 31797, 1.0, 0.060384592289368766, 0.11933541904956708, 0.019230769230769232
